Lab,Topic,Status,Date Completed,Notes,Score
01,Faculty Wi-Fi,Not Started,,,
02,Urgent Classroom Outage,Not Started,,,
03,Parent Technology Support,Not Started,,,
04,Complex Escalation,Not Started,,,
05,Ticket Queue Management,Not Started,,,
06,Windows Slow Computer,Not Started,,,
07,Windows Application Issue,Not Started,,,
08,Windows Profile Problem,Not Started,,,
09,Standard Windows Build,Not Started,,,
10,Windows Upgrade,Not Started,,,
11,macOS No Internet,Not Started,,,
12,macOS Performance,Not Started,,,
13,macOS Application Issue,Not Started,,,
14,iPad Enrollment,Not Started,,,
15,Lost iPhone/iPad,Not Started,,,
16,Apple Upgrade Project,Not Started,,,
17,Gmail Troubleshooting,Not Started,,,
18,Google Drive Permissions,Not Started,,,
19,Drive Sync,Not Started,,,
20,Google Account/Login,Not Started,,,
21,Google Workspace Training,Not Started,,,
22,MDM Enrollment,Not Started,,,
23,Configuration Profile,Not Started,,,
24,Application Deployment,Not Started,,,
25,Device Compliance,Not Started,,,
26,Lost Device MDM,Not Started,,,
27,Network Troubleshooting,Not Started,,,
28,DNS/DHCP Incident,Not Started,,,
29,Printer Troubleshooting,Not Started,,,
30,Projector/Display,Not Started,,,
31,Classroom Pre-Flight,Not Started,,,
32,VoIP Troubleshooting,Not Started,,,
33,Inventory Audit,Not Started,,,
34,Hardware Diagnosis,Not Started,,,
35,RMA Workflow,Not Started,,,
36,Damaged Equipment,Not Started,,,
37,New Classroom Deployment,Not Started,,,
38,School-Wide Apple Upgrade,Not Started,,,
39,New Employee Onboarding,Not Started,,,
40,Change Management,Not Started,,,
41,Vendor Management,Not Started,,,
42,Knowledge Base,Not Started,,,
43,End-User Training,Not Started,,,
44,Post-Resolution Follow-Up,Not Started,,,
45,Major Incident,Not Started,,,
46,Security-Sensitive Request,Not Started,,,
47,CIO Escalation,Not Started,,,
48,After-Hours Pager,Not Started,,,
CAPSTONE,School IT Support Command Center,Not Started,,,
